Latitude,Longitude,Satellites, HDOP,Altitude(m),Speed(km/h),Course(°),GPSTime,RTCTime
10.827506,106.696319,11,157,8.64,0,0,13:18:14,
10.827506,106.696319,11,157,8.64,0,0,13:18:18,
10.827506,106.696319,11,157,8.64,0,0,13:18:23,
10.827507,106.696319,10,157,8.64,0,0,13:18:26,
10.827497,106.696319,11,157,8.99,0,0,13:18:31,
10.827498,106.696327,11,157,8.93,0,0,13:18:35,
10.827498,106.696327,11,157,8.93,0,0,13:18:38,
10.827498,106.696327,11,155,8.93,0,0,13:18:42,
10.827498,106.696327,11,155,8.93,0,0,13:18:45,
10.827498,106.696327,11,155,8.93,0,0,13:18:52,
10.827498,106.696311,11,155,8.93,0,0,13:18:56,
10.827354,106.696372,12,142,9.36,0,0,13:19:02,
10.827519,106.696395,12,142,9.52,0,0,13:19:05,
10.827516,106.69638,12,142,9.44,0,0,13:19:08,
10.827517,106.69638,12,142,9.57,0,0,13:19:11,
10.827517,106.69638,12,142,9.56,0,0,13:19:15,
10.827517,106.69638,12,142,9.56,0,0,13:19:22,
0.827516,106.69638,12,142,9.56,0,0,13:19:27,
10.827517,106.69638,12,142,9.56,0,0,13:19:31,
10.827517,106.69638,12,142,9.56,0,0,13:19:41,
10.827517,106.69638,12,142,9.56,0,0,13:19:44,
10.827517,107.69638,12,141,8.56,0,0,13:19:47,
10.827517,106.69638,12,141,9.56,0,0,13:19:50,
10.827517,106.69638,12,141,9.56,0,0,13:19:53,
10.827576,106.696411,13,138,9.45,0,0,13:19:56,
10.827575,6.696412,13,138,9.48,0,0,13:19:59,
10.827575,106.696411,13,138,9.48,0,0,13:20:03,
10.827575,106.696411,13,138,8.48,0,0,13:30:06,
10.827575,106.683334,13,138,9.48,0,0,13:20:11,
10.827575,106.696411,13,138,9.48,0,0,13:20:14,
10.827575,106.696411,13,138,9.48,0,0,13:20:17,
10.827575,106.696411,13,138,9.48,0,0,13:20:21,
10.827543,106.696395,13,138,10.19,0,0,13:20:24,
10.82754,106.696388,12,182,10.23,0,0,13:20:29,
10.827521,106.69638,12,182,10.27,0,0,13:20:32,
10.827493,106.696365,11,200,10.42,0,0,13:20:40,
10.827492,106.696365,12,182,10.43,0,0,13:20:44,
10.827489,106.696372,13,182,10.44,0,0,13:20:49,
10.827495,106.696365,13,138,10.45,0,0,13:20:53,
10.827495,106.696365,13,138,10.45,0,0,13:20:56,
10.827495,106.696365,11,214,10.45,0,0,13:20:59,
10.827495,106.696365,12,149,10.45,0,0,13:21:05,
10.827495,106.696365,12,149,10.45,0,0,13:21:08,
10.827545,106.696334,12,100,10.73,0,0,13:21:13,
10.827546,106.696334,12,149,10.71,0,0,13:21:16,
10.827546,106.696334,12,149,10.71,0,0,13:21:19,
10.827546,106.696334,12,149,10.71,0,0,13:21:23,
10.827546,106.696334,12,149,10.71,0,0,13:21:27,
